Reference, Value, Footprint, Datasheet, Package, MF, Description, Availability, MP
"U2","LMV321","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"U1","TL431ACDBZR","TO_SOT_Packages_SMD:SOT-23_Handsoldering","0.15 USD","SOT-23-3 NXP Semiconductors","NXP Semiconductors","Voltage Reference%2C Precision%2C Shunt - Adjustable%2C AEC-Q100 TL431 Series%2C 2.495V to 36V%2C SOT-23-3","Good","TL431ACDBZR"
"U3","RT9193-30PB","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering","DOCUMENTATION"
"R6","180k","Resistors_SMD:R_0603_HandSoldering",""
"R4","10k","Resistors_SMD:R_0603_HandSoldering",""
"R3","100R","Resistors_SMD:R_0603_HandSoldering",""
"R1","1.8k","Resistors_SMD:R_0603_HandSoldering",""
"R2","1.8k","Resistors_SMD:R_0603_HandSoldering",""
"R8","100R","Resistors_SMD:R_0603_HandSoldering",""
"R7","180K","Resistors_SMD:R_0603_HandSoldering",""
"R5","10k","Resistors_SMD:R_0603_HandSoldering",""
"R9","10k","Resistors_SMD:R_0603_HandSoldering",""
"C4","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C3","4.7uF","Capacitors_SMD:C_0603_HandSoldering",""
"C1","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C6","4.7nF","Capacitors_SMD:C_0603_HandSoldering",""
"C5","10nF","Capacitors_SMD:C_0603_HandSoldering",""
"C7","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"C2","1uF","Capacitors_SMD:C_0603_HandSoldering",""
"J1","PT100","Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight",""
"J3","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J2","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J5","GS3","Connectors:GS3",""
"J4","GS3","Connectors:GS3",""
"J6","Aloes_Logo","Aloes:Aloes_mini",""
"J7","OSHW_Logo","Symbols:OSHW-Logo_5.7x6mm_SilkScreen",""
